lon,lat,source
-74.64,5.87,record
-76.21,20.23,record
-80.75,7.83,record
103.12,5.33,record
-61.58,-16.91,record
-149.83,-17.5,record
78.16,12.13,record
102.25,2.2,record
-75.7,19.96,record
-42.61,-11.81,record
-75.77,20.05,record
-73.43,-9.67,record
-38.53,-3.78,record
-38.94,-6.24,record
109.21,19.78,record
-36.68,-5.84,record
115.13,-8.37,record
-74.44,-4.15,record
124.86,1.53,record
-61,14.6,record
100.01,9.5,record
-149.58,-17.68,record
-36.79,-9.63,record
-80.34,-5.13,record
-61.4,10.63,record
-81.21,19.35,record
-38.81,-3.78,record
120.17,23.04,record
-83.35,9.95,record
-76.64,-11.78,record
-45.29,-5.09,record
-48.18,-21.79,record
-43.37,-22.79,record
-38.95,-4.95,record
106.93,-6.22,record
-67.99,10.08,record
144.54,-22.57,record
-35.71,-9.52,record
-78.34,-7.95,record
109.21,19.78,record
124.83,1.25,record
-79.82,-6.36,record
-37.31,-9.69,record
-79.03,-5.68,record
-43.3,-22.63,record
-43.96,-19.9,record
-37.45,-10.59,record
99.28,8.55,record
-83.99,9.61,record
-81.25,19.32,record
-61.37,10.55,record
105.19,9.17,record
-41.73,-12.47,record
120.5,-1.68,record
46.94,14.74,record
119.42,-2.34,record
-42.02,-11.25,record
104.95,9.37,record
-44.34,-22.99,record
122.14,7.14,record
75.82,30.81,record
165.66,-21.3,record
43.18,14.83,record
123.95,0.66,record
-41.73,-12.47,record
44.04,15.77,record
104.92,9.13,record
-44.67,-18.46,record
101.15,16.26,record
117.13,5.35,record
77.11,28.65,record
-38.44,-12.9,record
100.16,15.68,record
-85.4,10.45,record
113.3,2.59,record
-83.73,9.15,record
145.82,-17.15,record
101.11,4.78,record
101.5,3.27,record
105.14,9.37,record
96.91,4.23,record
104.83,9.05,record
-42.66,-22.2,record
-79.83,-6.42,record
-55.54,-23.26,record
102.03,5.28,record
-44.49,-21.15,record
113.82,-7.98,record
102.31,2.33,record
77.28,28.67,record
-70.45,-9.31,record
-55.75,-22.53,record
101.43,12.85,record
100.63,13.77,record
-57.05,-23.34,record
109.03,12.33,record
76.98,28.61,record
41.21,21.63,record
76.96,28.38,record
-39.2,-14.74,record
-51.63,-24.63,record
103.39,2.05,record
-56.54,-22.97,record
-42.69,-19.46,record
95.34,5.54,record
-43.46,-21.75,record
-39.78,-3.24,record
-39.29,-16.62,record
97.17,5.02,record
-38.44,-12.9,record
-96.39,19.38,record
-99.01,18.73,record
101.55,3.06,record
-104.87,21.78,record
-99.88,17.67,record
-61.51,-17.24,record
97.06,5.14,record
-107.49,24.98,record
-67.1,9.97,record
-57.45,-25.37,record
-86.02,12.31,record
109.62,-7.06,record
110.47,-7.27,record
-101.89,19.2,record
-39.04,-12.19,record
-39.33,-14.85,record
90.29,24.18,record
99.58,13.53,record
-54.25,-20.91,record
101.53,3.08,record
-37.09,-10.99,record
-86.46,11.85,record
-63.02,9.39,record
-75.96,20.19,record
-69.77,10.18,record
-48.33,-19.03,record
109.39,-7.04,record
-103.24,20.57,record
-40.16,-13.87,record
-47.82,-21.21,record
90.26,23.8,record
-73.25,-3.76,record
111.04,-6.75,record
110.77,-6.55,record
-69.86,8.14,record
-68.78,7.12,record
-60.31,-34.27,record
102.55,3.73,record
-76.38,-6.51,record
-55.88,-25.19,record
77.11,28.65,record
-61.65,12.12,record
-86.27,11.72,record
90.29,24.18,record
-67.96,10.19,record
109.86,-7.02,record
-61.51,-17.24,record
-66.47,18.13,record
-65.25,-13.83,record
145.76,-16.92,record
111.39,-7.08,record
-61.69,12.19,record
-73.92,-4.36,record
-46.45,-23.65,record
-82.21,22.87,record
-36.68,-5.84,record
78.4,11.01,record
-80.16,-5.1,record
-101.47,20.94,record
-61.7,12.19,record
-60.84,4.17,record
3.9,7.41,record
-47.81,-21.2,record
-47.28,-22.8,record
99.52,13.62,record
-48.73,-22.27,record
73.85,26.58,record
-44.82,-21.21,record
-67.01,18.08,record
-66.11,18.36,record
-79.78,22.25,record
-61.64,12.2,record
-54.84,-20.33,record
77.96,9.58,record
-66.53,18.12,record
78.05,15.83,record
-66.59,18.22,record
-67.15,18.04,record
77.5,10.01,record
101.28,13.63,record
-54.03,3.64,record
-43.45,-22.93,record
-66.49,18.05,record
-67.04,18.11,record
-65.67,18.32,record
-77.5,20.73,record
-65.76,18.24,record
76.77,30.73,record
-97.5,25.9,record
-65.89,18.07,record
-64.14,-4.44,record
-55.1,-2.83,record
-66.12,18.35,record
-48.42,-1.26,record
-60.26,-2.63,record
-97.5,25.91,record
-96.28,29.89,record
-77.71,21.36,record
-66.91,17.97,record
-97.74,28.42,record
101.3,13.57,record
-82.45,23.1,record
-68.32,-10.07,record
-66.73,18.48,record
-65.75,18.23,record
-60.72,3.12,record
-65.67,18.26,record
-66.61,18.02,record
-82.21,23.05,record
-43.95,-19.82,record
-43.25,-22.88,record
-99.33,27.76,record
-43.96,-19.9,record
-60.26,-2.63,record
-44.28,-2.63,record
-40.35,-20.32,record
-97.51,25.87,record
-48.62,-7.34,record
-48.42,-1.26,record
-38.53,-3.78,record
-100.31,28.74,record
-98.52,29.45,record
-98.18,26.39,record
-97.53,26.12,record
-74.91,20.22,record
-94.37,32.55,record
-80.12,22.37,record
-89.62,20.98,record
-51.04,-17.74,record
-38.3,-4.24,record
-44.07,-19.78,record
-99.51,27.51,record
-48.38,-1.38,record
-50.74,0.56,record
-40.3,-20.13,record
-97.68,26.47,record
-44.2,-19.95,record
-43.38,-22.73,record
-38.63,-3.88,record
-40.38,-20.44,record
-43.78,-19.85,record
-103.93,19.14,record
-43.93,-16.62,record
-57.84,-16.52,record
-40.21,-3.82,record
-39.77,-8.16,record
-61.32,-11.3,record
-41.76,-2.96,record
-49.27,-16.81,record
-41.96,-18.78,record
-97.73,27.43,record
-49.28,-16.64,record
-43.11,-22.61,record
-43.46,-21.75,record
-51.97,-23.4,record
-47.8,-15.78,record
-42.69,-19.46,record
-46.65,-23.65,record
-39.28,-7.18,record
-48.33,-19.03,record
-43,-22.83,record
-54.25,-20.91,record
-2.7,10.53,record
-43.45,-22.93,record
-44.08,-19.89,record
-43.5,-22.7,record
-51.28,-23.18,record
-47.82,-21.21,record
-42.77,-5.17,record
-47.78,-22.73,record
-49.98,-22.18,record
-40.29,-20.28,record
-48.65,-20.51,record
-43.3,-22.63,record
-42.85,-22.75,record
-42.06,-22.71,record
-46.29,-23.87,record
-73.19,-3.75,record
-42,-13.44,record
73.98,20.16,record
-42.94,-22.18,record
-40.01,-13.01,record
-41.4,-21.75,record
-44.49,-22.44,record
-41.98,-22.3,record
-1.81,9.07,record
-54.48,-25.48,record
-98.37,25.81,record
-52.51,-22.92,record
-44.34,-22.99,record
-50.57,-21.11,record
-0.85,10.79,record
-46.79,-23.53,record
76.13,25.13,record
-86.59,12.61,record
-51.11,-23.52,record
75.72,26.98,record
-39.53,-17.06,record
-43.98,-19.85,record
-50.63,-21.25,record
76.56,19.5,record
-39.25,-17.75,record
-61.3,10.2,record
-50.31,-21.3,record
-39.58,-16.36,record
-1.98,10.87,record
72.79,26.75,record
77.27,27.25,record
-39.26,-14.8,record
104.75,-2.98,record
110.41,20.05,record
-99.36,31.49,record
-36.69,-9.66,record
-39.59,-16.08,record
-46.45,-23.4,record
-43.28,-22.88,record
-39.71,-17.52,record
-39.08,-16.43,record
-39.56,-16.56,record
-38.9,-15.85,record
-50.06,-21.4,record
-47.8,-21.19,record
73.2,24.48,record
-39.21,-17.5,record
-50.23,-20.26,record
-39.03,-16.28,record
76.33,29.15,record
73.2,22.3,record
76.92,8.52,record
124.91,1.53,record
110.17,19.51,record
72.4,23.6,record
71.68,22.7,record
-50.78,-20.38,record
-43.44,-22.75,record
-49.68,-21.05,record
-49.93,-22.21,record
75.5,21.4,record
-47.8,-21.16,record
-49.38,-20.8,record
119.46,-5.15,record
-49.98,-20.4,record
-57.62,-25.37,record
-43.23,-22.9,record
-54.58,-25.61,record
72.95,23.6,record
-45.42,-23.62,record
-50.41,-21.2,record
-48.64,-22.55,record
70.8,22.3,record
-50.36,-22.01,record
-43.36,-21.75,record
-45.18,-23.1,record
-40.38,-3.69,record
72.56,22.05,record
-39.28,-14.79,record
106.93,-6.22,record
-57.58,-25.33,record
105.71,-4.66,record
-46.63,-23.54,record
-57.6,-25.37,record
-56.54,-22.96,record
-61.43,10.27,record
74.01,22.31,record
106.79,-6.59,record
95.32,5.55,record
-51.39,-22.12,record
-57.61,-25.38,record
-58.37,-34.61,record
134.19,-19.65,record
-90.07,29.97,record
146.75,-19.29,record
-89.61,20.96,record
75.59,11.59,record
146.82,-19.28,record
88.36,22.58,record
-98.28,26.08,record
146.8,-19.28,record
