lon,lat,source
139.67,35.94,record
99.01,18.58,record
139.54,35.47,record
-69.94,-4.22,record
77,8.45,record
75.88,11.24,record
9.7,4.05,record
75.85,11.49,record
120.49,22.68,record
101.89,3.57,record
34.93,32.61,record
16.12,3.19,record
102.84,16.44,record
16.05,3.52,record
103.76,1.42,record
99.55,18.26,record
104.07,1.75,record
-92.23,14.88,record
75.88,11.24,record
99.83,19.91,record
100.26,5.29,record
47.11,-18.31,record
100.07,6.62,record
77.22,28.7,record
75.88,11.24,record
75.8,11.17,record
120.35,22.63,record
13.4,9.3,record
76.55,10.95,record
104.86,15.23,record
102.11,12.61,record
103.5,14.88,record
101.55,4.26,record
77.27,28.68,record
99.55,14,record
-99.1,18.68,record
120.3,22.64,record
98.52,8.44,record
99.94,9.53,record
101.89,3.57,record
116.19,39.95,record
98.92,8.06,record
-99.18,18.62,record
9.68,4.03,record
4.21,36.64,record
101.55,4.26,record
76.69,9.6,record
49.4,-18.15,record
73.08,31.42,record
72.67,32.08,record
47.46,-18.82,record
102.17,6.2,record
9.23,4.17,record
101.88,3.57,record
101.68,2.94,record
77.17,28.72,record
76.96,9.26,record
101.89,3.57,record
102.15,5.81,record
101.68,2.94,record
101.68,2.94,record
77.1,8.53,record
103.76,1.43,record
9.22,4.15,record
102.14,6.04,record
10.55,3.83,record
55.52,-21.29,record
14.55,5.88,record
43.67,-23.34,record
101.89,3.57,record
77.22,28.51,record
10.43,5.48,record
72.67,32.08,record
48.45,-13.68,record
77.1,28.7,record
77.3,28.62,record
-95.99,36.15,record
101.84,5.7,record
45.21,-12.78,record
49.15,-12.62,record
74.36,31.55,record
74.36,31.55,record
100.3,5.35,record
-73.86,18.33,record
13.1,-0.5,record
77.1,28.7,record
72.67,32.08,record
55.34,-20.93,record
73.08,31.42,record
55.72,-21.07,record
55.41,-20.89,record
75.78,11.26,record
49.25,-18.3,record
-86.89,21.15,record
73.08,31.42,record
74.36,31.55,record
47.09,-21.45,record
45.12,-12.84,record
44.3,-20.3,record
47.24,-20.53,record
55.31,-21.18,record
47.38,-21.24,record
100.28,5.32,record
47.94,-18.41,record
57.45,-20.4,record
-73.89,18.57,record
85.6,24.47,record
-84.4,33.8,record
47.24,-20.53,record
-74.45,18.49,record
100.3,5.36,record
-72.09,18.65,record
80.02,9.68,record
-72.47,19.05,record
47.24,-20.53,record
34.87,32.36,record
75.62,11.97,record
80.02,9.68,record
81.61,7.77,record
34.94,31.96,record
-78.88,38.58,record
-72.1,18.83,record
35.06,32.38,record
101.5,3.04,record
-73.93,18.09,record
47.09,-21.45,record
35.14,33.08,record
47.09,-21.45,record
74.02,15.4,record
101.51,3.04,record
49.39,-18.14,record
47.11,-18.32,record
100.58,6.8,record
49.39,-18.14,record
34.92,32.35,record
49.39,-18.14,record
116.67,23.37,record
44.3,-20.3,record
34.85,32.27,record
44.3,-20.3,record
35.05,32.69,record
130.99,30.59,record
-77.65,39.08,record
35,32.33,record
105.57,21.3,record
35.17,33.02,record
75.84,11.49,record
36.39,34.4,record
35.03,32.48,record
34.95,32.59,record
75.67,11.72,record
105.15,17.72,record
35.09,32.95,record
89.39,26.86,record
-77.33,37.51,record
-92.19,14.84,record
-77.24,38.91,record
34.91,32.02,record
34.92,31.82,record
99.78,18.68,record
105.2,17.41,record
123.88,10.43,record
108.3,27.22,record
98.6,18.85,record
105.17,17.64,record
90.49,26.87,record
76.13,11.69,record
35.1,32.77,record
76.3,9.7,record
129.82,32.78,record
105.14,17.72,record
105.16,17.61,record
105.05,17.84,record
-59.94,-3.05,record
35.72,34.21,record
105.85,20.92,record
55.46,-20.9,record
80.17,9.68,record
55.51,-20.92,record
120.18,30.27,record
99.81,13.53,record
101.5,3.04,record
123.89,10.43,record
101.51,3.04,record
121.31,24.99,record
123.87,10.43,record
105.17,17.6,record
123.89,10.42,record
35.62,33.66,record
105.16,17.54,record
105.22,17.68,record
104.96,17.45,record
123.89,10.43,record
105.05,17.82,record
126.59,33.27,record
105.05,17.84,record
105.22,17.68,record
105.03,17.44,record
101.06,4.8,record
88.36,22.57,record
55.68,-21.1,record
101.5,3.04,record
105.26,17.67,record
123.9,10.42,record
105.32,17.63,record
35.38,33.53,record
35.7,33.87,record
105.17,17.48,record
114.19,4.58,record
105.13,17.44,record
-45.45,-18.58,record
100.45,5.35,record
-81.34,29.89,record
123.89,10.43,record
104.95,17.1,record
35.63,33.89,record
104.58,15.1,record
105.14,17.72,record
4.57,7.77,record
104.86,17.43,record
26.65,40.89,record
101.59,2.66,record
105.16,17.64,record
88.36,22.57,record
47.44,-18.82,record
104.8,17.4,record
105.24,17.33,record
92.59,26.49,record
-59.94,-3.05,record
-59.94,-3.05,record
100.3,5.35,record
102.25,14.51,record
26.32,40.92,record
105.11,17.75,record
113.29,23.15,record
113.23,23.12,record
3.9,7.41,record
-59.94,-3.05,record
93.73,26.94,record
113.33,23.43,record
113.43,23.08,record
93.68,26.9,record
49.4,-18.15,record
47.12,-18.32,record
102.89,13.8,record
114.13,22.49,record
15.11,-4.33,record
113.37,23.04,record
113.82,23.42,record
104.58,15.13,record
99.28,8.55,record
113.35,23.16,record
105.64,12.05,record
93.46,26.89,record
103.04,4.91,record
93.31,26.86,record
92.54,26.71,record
-43.25,-22.88,record
99.94,9.53,record
113.29,23.12,record
113.25,23.11,record
-52.26,-21.74,record
120.35,22.63,record
93.17,26.66,record
106.16,13.85,record
113.29,23.09,record
-89.2,40.07,record
113.45,23.16,record
100.01,9.5,record
-97.5,25.91,record
106,10.17,record
-64.3,-9.15,record
103.51,2.05,record
-43.71,-22.6,record
-42.92,-22.07,record
79.15,12.81,record
110.35,-7.68,record
90.29,24.13,record
75.81,26.91,record
104.98,11.4,record
-48.96,-21.13,record
-40.45,-20.29,record
79.23,12.25,record
-158,21.44,record
-95.35,29.75,record
-83.45,32.65,record
126.21,43.68,record
120.8,23.87,record
120.35,22.63,record
-42.73,-22.78,record
-48.55,-25.54,record
-59.99,-3.11,record
101.76,3.05,record
-118.27,33.75,record
-44.28,-2.63,record
-38.44,-12.9,record
-59.96,-3.07,record
-99.36,31.49,record
113.08,23,record
106.68,10.76,record
-156.56,20.86,record
